epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1102,2.02707,4.92026,1.62876,0.00129,0.28846,0.00122,0.0003,2.14991,4.9793,1.79782,0.00011669,0.00011669,0.00011669
2,19.4012,1.97891,4.51304,1.51003,0.00213,0.44231,0.02135,0.0053,1.68802,4.49292,1.35063,0.000245099,0.000245099,0.000245099
3,29.2253,2.04979,4.17214,1.37357,0.00296,0.53846,0.18668,0.07968,1.39725,4.19127,1.09423,0.000368227,0.000368227,0.000368227
4,38.5213,1.71288,3.54971,1.21615,0.00322,0.55769,0.24212,0.11772,1.4153,4.12821,1.05014,0.000486074,0.000486074,0.000486074
5,47.5603,1.67773,3.42061,1.23901,0.00326,0.55769,0.37148,0.15571,1.34731,3.9118,1.00415,0.00059864,0.00059864,0.00059864
6,56.7422,1.5321,2.82926,1.1411,0.00327,0.55769,0.38633,0.1509,1.34096,3.72839,0.98801,0.000705924,0.000705924,0.000705924
7,65.7608,1.40995,2.4433,1.04906,0.00483,0.82692,0.59948,0.35004,1.3072,3.44377,0.98347,0.000807928,0.000807928,0.000807928
8,74.8189,1.42657,2.75869,1.1144,1,0.31924,0.83126,0.50919,1.28222,3.16582,1.00353,0.000904651,0.000904651,0.000904651
9,83.7784,1.4158,2.65256,1.08131,0.9611,0.27948,0.83092,0.48359,1.42479,2.96326,1.05889,0.000996093,0.000996093,0.000996093
10,93.1455,1.48648,2.00924,1.08423,0.9611,0.27948,0.83092,0.48359,1.42479,2.96326,1.05889,0.00108225,0.00108225,0.00108225
11,103.025,1.40698,2.277,1.02414,0.92297,0.31423,0.75489,0.48353,1.2183,2.97142,1.00777,0.00116313,0.00116313,0.00116313
12,112.309,1.6063,2.74855,1.13559,0.92297,0.31423,0.75489,0.48353,1.2183,2.97142,1.00777,0.00123873,0.00123873,0.00123873
13,121.678,1.3075,2.42601,1.04908,0.93231,0.16598,0.68704,0.43843,1.18816,3.1753,1.0074,0.00127092,0.00127092,0.00127092
14,131.495,1.24851,2.36011,1.02429,0.93231,0.16598,0.68704,0.43843,1.18816,3.1753,1.0074,0.00123791,0.00123791,0.00123791
15,141.058,1.39575,2.43073,1.08977,0.78421,0.75105,0.8789,0.50688,1.39857,2.30855,0.99315,0.00120491,0.00120491,0.00120491
16,150.451,1.25994,2.07635,0.98501,0.78421,0.75105,0.8789,0.50688,1.39857,2.30855,0.99315,0.0011719,0.0011719,0.0011719
17,160.096,1.2624,1.89617,0.99676,0.86648,0.80065,0.90519,0.55776,1.34093,1.77006,0.97352,0.00113889,0.00113889,0.00113889
18,169.654,1.25511,1.9037,1.00321,0.86648,0.80065,0.90519,0.55776,1.34093,1.77006,0.97352,0.00110589,0.00110589,0.00110589
19,178.823,1.20268,1.88042,1.00101,0.91799,0.81965,0.93216,0.60108,1.27665,1.68106,0.9511,0.00107288,0.00107288,0.00107288
20,187.784,1.22292,1.93294,0.96523,0.91799,0.81965,0.93216,0.60108,1.27665,1.68106,0.9511,0.00103987,0.00103987,0.00103987
21,196.829,1.2586,1.84011,1.00921,0.80779,0.87259,0.92192,0.60422,1.23656,1.79055,0.94049,0.00100687,0.00100687,0.00100687
22,205.722,1.13798,1.72656,0.96978,0.80779,0.87259,0.92192,0.60422,1.23656,1.79055,0.94049,0.000973861,0.000973861,0.000973861
23,214.792,1.2735,1.8307,0.94674,0.77748,0.88844,0.92737,0.635,1.15736,1.71277,0.93018,0.000940855,0.000940855,0.000940855
24,223.754,1.22192,1.74141,1.02231,0.77748,0.88844,0.92737,0.635,1.15736,1.71277,0.93018,0.000907848,0.000907848,0.000907848
25,232.82,1.14554,1.8342,0.98368,0.86598,0.94,0.93787,0.65788,1.11397,1.53508,0.91783,0.000874842,0.000874842,0.000874842
26,241.966,1.11484,1.71902,1.0163,0.86598,0.94,0.93787,0.65788,1.11397,1.53508,0.91783,0.000841835,0.000841835,0.000841835
27,251.476,1.07277,1.62744,0.9502,0.88598,0.93565,0.95162,0.67024,1.0733,1.43236,0.90853,0.000808828,0.000808828,0.000808828
28,262.526,1.18112,1.77524,0.98809,0.88598,0.93565,0.95162,0.67024,1.0733,1.43236,0.90853,0.000775822,0.000775822,0.000775822
29,272.728,1.11204,1.72514,0.94124,0.88815,0.95055,0.96446,0.67894,1.0502,1.37774,0.89398,0.000742815,0.000742815,0.000742815
30,282.851,1.10827,1.65682,0.98455,0.88815,0.95055,0.96446,0.67894,1.0502,1.37774,0.89398,0.000709809,0.000709809,0.000709809
31,292.104,1.0782,1.63949,0.9546,0.91901,0.94653,0.98182,0.69714,1.00512,1.39523,0.88311,0.000676802,0.000676802,0.000676802
32,301.19,1.02025,1.54839,0.92944,0.91901,0.94653,0.98182,0.69714,1.00512,1.39523,0.88311,0.000643795,0.000643795,0.000643795
33,310.287,1.03899,1.45348,0.92828,0.93998,0.90089,0.98627,0.73354,0.94039,1.42496,0.87678,0.000610789,0.000610789,0.000610789
34,319.239,1.04927,1.41715,0.92483,0.93998,0.90089,0.98627,0.73354,0.94039,1.42496,0.87678,0.000577782,0.000577782,0.000577782
35,328.49,1.00127,1.68862,0.95279,0.93316,0.9308,0.99126,0.74501,0.89048,1.36103,0.86816,0.000544776,0.000544776,0.000544776
36,337.448,1.00291,1.44524,0.91867,0.93316,0.9308,0.99126,0.74501,0.89048,1.36103,0.86816,0.000511769,0.000511769,0.000511769
37,346.527,0.90072,1.25283,0.91815,0.96949,0.96154,0.99054,0.7699,0.83379,1.29249,0.85658,0.000478762,0.000478762,0.000478762
38,355.749,0.89848,1.47186,0.93261,0.96949,0.96154,0.99054,0.7699,0.83379,1.29249,0.85658,0.000445756,0.000445756,0.000445756
39,365.029,0.88058,1.33424,0.90643,0.93813,0.95418,0.98988,0.77724,0.81406,1.26828,0.85439,0.000412749,0.000412749,0.000412749
40,374.485,0.92918,1.30554,0.85494,0.93813,0.95418,0.98988,0.77724,0.81406,1.26828,0.85439,0.000379743,0.000379743,0.000379743
41,384.417,1.03641,2.68242,0.98814,0.93349,0.94231,0.98758,0.76146,0.8539,1.28373,0.85974,0.000346736,0.000346736,0.000346736
42,393.933,1.31275,3.09812,1.05422,0.93349,0.94231,0.98758,0.76146,0.8539,1.28373,0.85974,0.000313729,0.000313729,0.000313729
43,402.991,1.09559,2.42609,0.89674,0.93242,0.92308,0.98229,0.74565,0.90865,1.30547,0.86925,0.000280723,0.000280723,0.000280723
44,412.23,1.00304,5.85325,0.80957,0.93242,0.92308,0.98229,0.74565,0.90865,1.30547,0.86925,0.000247716,0.000247716,0.000247716
45,421.404,0.96348,3.36275,0.81359,0.94877,0.89593,0.97382,0.72343,0.93604,1.31281,0.87413,0.00021471,0.00021471,0.00021471
46,430.527,1.02144,4.45819,0.83492,0.94877,0.89593,0.97382,0.72343,0.93604,1.31281,0.87413,0.000181703,0.000181703,0.000181703
