epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.93091,0,7.55776,0,0,0,0,0,0,8.69311,0,4e-05,4e-05,4e-05
2,1.65553,0,7.4834,0,0,0,0,0,0,8.69311,0,9.802e-05,9.802e-05,9.802e-05
3,2.46496,0,7.46151,0,0,0,0,0,0,8.7183,0,0.000153664,0.000153664,0.000153664
4,3.15374,0,7.39256,0,0,0,0,0,0,8.7183,0,0.000206932,0.000206932,0.000206932
5,3.84252,0,7.38805,0,0,0,0,0,0,8.7183,0,0.000257824,0.000257824,0.000257824
6,4.66911,0,7.38817,0,0,0,0,0,0,8.7183,0,0.00030634,0.00030634,0.00030634
7,5.37047,0,7.3946,0,0,0,0,0,0,8.7183,0,0.00035248,0.00035248,0.00035248
8,6.08273,0,7.34478,0,0,0,0,0,0,8.75779,0,0.000396244,0.000396244,0.000396244
9,6.77472,0,7.31269,0,0,0,0,0,0,8.75779,0,0.000437632,0.000437632,0.000437632
10,7.47546,0,7.31251,0,0,0,0,0,0,8.75779,0,0.000476644,0.000476644,0.000476644
11,8.20376,0,7.30808,0,0,0,0,0,0,8.75779,0,0.00051328,0.00051328,0.00051328
12,9.03869,0,7.31259,0,0,0,0,0,0,8.75779,0,0.00054754,0.00054754,0.00054754
13,9.77056,0,7.31067,0,0,0,0,0,0,8.75779,0,0.000579424,0.000579424,0.000579424
14,10.5346,0,7.30335,0,0,0,0,0,0,8.75779,0,0.000608932,0.000608932,0.000608932
15,11.2206,0,7.30492,0,0,0,0,0,0,8.75779,0,0.000636064,0.000636064,0.000636064
16,11.9104,0,7.31946,0,0,0,0,0,0,8.75779,0,0.00066082,0.00066082,0.00066082
17,12.6897,0,7.31674,0,0,0,0,0,0,8.75779,0,0.0006832,0.0006832,0.0006832
18,13.4526,0,7.32876,0,0,0,0,0,0,8.75779,0,0.000703204,0.000703204,0.000703204
19,14.3005,0,7.32428,0,0,0,0,0,0,8.75779,0,0.000720832,0.000720832,0.000720832
20,15.2176,0,7.31752,0,0,0,0,0,0,8.69973,0,0.000736084,0.000736084,0.000736084
21,15.9529,0,7.17512,0,0,0,0,0,0,8.69973,0,0.00074896,0.00074896,0.00074896
22,16.6713,0,7.1688,0,0,0,0,0,0,8.69973,0,0.00075946,0.00075946,0.00075946
23,17.3998,0,7.16065,0,0,0,0,0,0,8.69973,0,0.000767584,0.000767584,0.000767584
24,18.2391,0,7.16513,0,0,0,0,0,0,8.69973,0,0.000773332,0.000773332,0.000773332
25,18.9174,0,7.17077,0,0,0,0,0,0,8.69973,0,0.000776704,0.000776704,0.000776704
26,19.5936,0,7.16755,0,0,0,0,0,0,8.69973,0,0.0007777,0.0007777,0.0007777
27,20.2873,0,7.15317,0,0,0,0,0,0,8.69973,0,0.00077632,0.00077632,0.00077632
28,20.9816,0,7.16422,0,0,0,0,0,0,8.69973,0,0.000772564,0.000772564,0.000772564
29,21.6668,0,7.16975,0,0,0,0,0,0,8.69973,0,0.000766432,0.000766432,0.000766432
30,22.4179,0,7.18085,0,0,0,0,0,0,8.69973,0,0.000757924,0.000757924,0.000757924
31,23.287,0,7.17378,0,0,0,0,0,0,8.69973,0,0.00074704,0.00074704,0.00074704
32,24.1023,0,7.179,0,0,0,0,0,0,8.69973,0,0.00073378,0.00073378,0.00073378
33,24.9136,0,7.16751,0,0,0,0,0,0,8.69973,0,0.000718144,0.000718144,0.000718144
34,25.7716,0,7.15879,0,0,0,0,0,0,8.69973,0,0.0006932,0.0006932,0.0006932
35,26.5524,0,7.16791,0,0,0,0,0,0,8.69973,0,0.0006536,0.0006536,0.0006536
36,27.3608,0,7.16945,0,0,0,0,0,0,8.69973,0,0.000614,0.000614,0.000614
37,28.1747,0,7.16513,0,0,0,0,0,0,8.69973,0,0.0005744,0.0005744,0.0005744
38,28.939,0,7.17655,0,0,0,0,0,0,8.69973,0,0.0005348,0.0005348,0.0005348
39,30.0094,0,7.15277,0,0,0,0,0,0,8.69973,0,0.0004952,0.0004952,0.0004952
40,30.826,0,7.15655,0,0,0,0,0,0,8.69973,0,0.0004556,0.0004556,0.0004556
41,31.6294,0,7.18903,0,0,0,0,0,0,8.69973,0,0.000416,0.000416,0.000416
42,32.4029,0,7.09033,0,0,0,0,0,0,8.43373,0,0.0003764,0.0003764,0.0003764
43,33.0992,0,7.05697,0,0,0,0,0,0,8.43373,0,0.0003368,0.0003368,0.0003368
44,33.8396,0,7.05882,0,0,0,0,0,0,8.43373,0,0.0002972,0.0002972,0.0002972
45,34.6402,0,7.07001,0,0,0,0,0,0,8.43373,0,0.0002576,0.0002576,0.0002576
46,35.3669,0,7.06346,0,0,0,0,0,0,8.43373,0,0.000218,0.000218,0.000218
47,36.0437,0,7.05232,0,0,0,0,0,0,8.43373,0,0.0001784,0.0001784,0.0001784
48,36.7806,0,7.06223,0,0,0,0,0,0,8.43373,0,0.0001388,0.0001388,0.0001388
49,37.5342,0,7.05903,0,0,0,0,0,0,8.43373,0,9.92e-05,9.92e-05,9.92e-05
50,38.2802,0,7.06698,0,0,0,0,0,0,8.43373,0,5.96e-05,5.96e-05,5.96e-05
