epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0489,2.57611,7.0121,1.45092,0.00218,0.65517,0.00234,0.00079,2.17421,5.63273,1.39395,0.00056,0.00056,0.00056
2,11.8538,2.0805,6.33738,1.22142,0.00218,0.65517,0.00234,0.00079,2.17421,5.63273,1.39395,0.00111743,0.00111743,0.00111743
3,17.6975,2.10065,4.96558,1.15816,0.00299,0.89655,0.0061,0.00236,1.64415,4.37383,1.02667,0.00165189,0.00165189,0.00165189
4,23.6501,2.42198,4.73796,1.29033,0.00299,0.89655,0.0061,0.00236,1.64415,4.37383,1.02667,0.0018812,0.0018812,0.0018812
5,29.8034,2.11229,5.49377,1.08766,0.2873,0.37931,0.2282,0.04033,2.45892,8.82065,1.31133,0.0018416,0.0018416,0.0018416
6,36.1523,2.24315,6.04203,1.10646,0.2873,0.37931,0.2282,0.04033,2.45892,8.82065,1.31133,0.001802,0.001802,0.001802
7,42.3726,2.04576,4.84905,1.0269,0.86194,0.68966,0.82252,0.36649,1.74393,3.58116,0.96891,0.0017624,0.0017624,0.0017624
8,48.5119,1.91676,4.25441,1.00293,0.86194,0.68966,0.82252,0.36649,1.74393,3.58116,0.96891,0.0017228,0.0017228,0.0017228
9,54.722,2.04845,4.50667,1.04846,0.80497,0.7931,0.88668,0.52311,1.50616,3.3631,0.94473,0.0016832,0.0016832,0.0016832
10,60.7552,1.4297,4.5349,0.81095,0.80497,0.7931,0.88668,0.52311,1.50616,3.3631,0.94473,0.0016436,0.0016436,0.0016436
11,67.2539,1.65518,4.31493,0.96378,0.71682,0.93103,0.92561,0.2834,1.82791,5.19024,1.00752,0.001604,0.001604,0.001604
12,73.3557,1.82483,4.13489,0.95236,0.71682,0.93103,0.92561,0.2834,1.82791,5.19024,1.00752,0.0015644,0.0015644,0.0015644
13,79.4862,1.95161,4.99557,0.99178,0.71682,0.93103,0.92561,0.2834,1.82791,5.19024,1.00752,0.0015248,0.0015248,0.0015248
14,85.5292,1.29928,4.37989,0.87034,0.67318,0.4266,0.52582,0.29934,1.45237,3.283,1.0137,0.0014852,0.0014852,0.0014852
15,91.6538,1.607,3.58921,1.04854,0.67318,0.4266,0.52582,0.29934,1.45237,3.283,1.0137,0.0014456,0.0014456,0.0014456
16,97.8681,1.44799,3.09383,0.94597,0.87593,0.73057,0.87744,0.56953,1.30283,2.31324,1.0071,0.001406,0.001406,0.001406
17,104.051,1.42803,2.89839,0.93777,0.87593,0.73057,0.87744,0.56953,1.30283,2.31324,1.0071,0.0013664,0.0013664,0.0013664
18,110.468,1.37238,3.01424,0.94607,1,0.89098,0.97057,0.67268,1.15679,2.20101,0.95665,0.0013268,0.0013268,0.0013268
19,116.729,1.29257,3.26451,0.8419,1,0.89098,0.97057,0.67268,1.15679,2.20101,0.95665,0.0012872,0.0012872,0.0012872
20,123.143,1.3066,2.9351,0.91238,0.99347,0.7931,0.9426,0.68908,1.11892,1.96409,0.93002,0.0012476,0.0012476,0.0012476
21,129.586,1.24623,2.48771,0.90473,0.99347,0.7931,0.9426,0.68908,1.11892,1.96409,0.93002,0.001208,0.001208,0.001208
22,135.834,1.0259,2.69386,0.83122,0.96353,0.96552,0.98374,0.73587,1.08258,1.69984,0.93482,0.0011684,0.0011684,0.0011684
23,142.038,1.11048,2.39369,0.88855,0.96353,0.96552,0.98374,0.73587,1.08258,1.69984,0.93482,0.0011288,0.0011288,0.0011288
24,148.254,1.09582,2.66088,0.83885,0.96353,0.96552,0.98374,0.73587,1.08258,1.69984,0.93482,0.0010892,0.0010892,0.0010892
25,154.389,1.38449,2.44555,0.96749,0.96661,0.99815,0.994,0.72852,1.13956,1.67494,0.9437,0.0010496,0.0010496,0.0010496
26,160.61,1.51971,2.89367,0.94944,0.96661,0.99815,0.994,0.72852,1.13956,1.67494,0.9437,0.00101,0.00101,0.00101
27,166.745,1.07643,2.35424,0.8413,0.9861,1,0.995,0.70213,1.2028,1.64515,0.96121,0.0009704,0.0009704,0.0009704
28,172.997,1.2298,2.35174,0.826,0.9861,1,0.995,0.70213,1.2028,1.64515,0.96121,0.0009308,0.0009308,0.0009308
29,179.129,1.06432,2.39438,0.847,0.99574,1,0.995,0.69636,1.16165,1.55217,0.95365,0.0008912,0.0008912,0.0008912
30,185.384,1.02966,2.1578,0.85666,0.99574,1,0.995,0.69636,1.16165,1.55217,0.95365,0.0008516,0.0008516,0.0008516
31,191.576,1.21417,2.28063,0.89707,0.99617,1,0.995,0.71119,1.09461,1.53103,0.92855,0.000812,0.000812,0.000812
32,197.776,1.14642,1.96664,0.84999,0.99617,1,0.995,0.71119,1.09461,1.53103,0.92855,0.0007724,0.0007724,0.0007724
33,203.753,1.24022,2.40465,0.94179,0.9965,1,0.995,0.71286,1.06697,1.52106,0.91975,0.0007328,0.0007328,0.0007328
34,209.814,1.11071,2.14061,0.87484,0.9965,1,0.995,0.71286,1.06697,1.52106,0.91975,0.0006932,0.0006932,0.0006932
35,215.82,1.05226,1.83071,0.88722,0.9965,1,0.995,0.71286,1.06697,1.52106,0.91975,0.0006536,0.0006536,0.0006536
36,221.909,1.03856,1.81682,0.8887,0.96287,1,0.994,0.72565,0.99541,1.49236,0.90367,0.000614,0.000614,0.000614
37,227.953,1.01106,1.68454,0.86485,0.96287,1,0.994,0.72565,0.99541,1.49236,0.90367,0.0005744,0.0005744,0.0005744
38,234.347,0.95087,1.86546,0.8324,0.9614,1,0.994,0.75803,0.96941,1.36785,0.89969,0.0005348,0.0005348,0.0005348
39,241.131,1.19462,1.68924,0.92171,0.9614,1,0.994,0.75803,0.96941,1.36785,0.89969,0.0004952,0.0004952,0.0004952
40,248.113,1.0283,2.18995,0.81707,1,0.99271,0.995,0.72588,0.98264,1.33175,0.89637,0.0004556,0.0004556,0.0004556
41,255.057,1.01637,3.65066,0.6978,1,0.99271,0.995,0.72588,0.98264,1.33175,0.89637,0.000416,0.000416,0.000416
42,262.001,0.88806,3.52834,0.58211,0.96576,1,0.993,0.72408,1.0126,1.35979,0.90106,0.0003764,0.0003764,0.0003764
43,268.707,0.90131,3.34457,0.62759,0.96576,1,0.993,0.72408,1.0126,1.35979,0.90106,0.0003368,0.0003368,0.0003368
44,275.46,0.61877,3.62015,0.45134,0.96293,1,0.993,0.73282,1.01536,1.39686,0.90141,0.0002972,0.0002972,0.0002972
45,282.378,0.71893,3.00437,0.59361,0.96293,1,0.993,0.73282,1.01536,1.39686,0.90141,0.0002576,0.0002576,0.0002576
46,289.243,0.65097,3.39996,0.49971,0.96293,1,0.993,0.73282,1.01536,1.39686,0.90141,0.000218,0.000218,0.000218
47,296.004,0.72771,3.63992,0.50771,0.95772,1,0.993,0.739,1.01023,1.44717,0.89907,0.0001784,0.0001784,0.0001784
48,302.688,0.83451,3.28163,0.57897,0.95772,1,0.993,0.739,1.01023,1.44717,0.89907,0.0001388,0.0001388,0.0001388
49,309.461,0.68138,3.78772,0.48211,0.95905,1,0.993,0.75832,0.9968,1.45411,0.89556,9.92e-05,9.92e-05,9.92e-05
50,316.3,0.63634,3.44953,0.4735,0.95905,1,0.993,0.75832,0.9968,1.45411,0.89556,5.96e-05,5.96e-05,5.96e-05
